gid,name,logged_hours,n_tasks,archetype,n_videos,n_modules,n_animations,other_deliverables,evidence
1212343204566399,ASCEND MCOB,62.0,50,full_course,,,,,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (ASCEND MCOB)
1210225716846536,Sprint 2025 - Digital Accessibility - Whitney James,49.2,34,full_course,,,,,"Name 'Sprint 2025' but tasks 'Create Course Map','Finalize Modules','Build course in Canvas','Content Development','Finalize Assessments/IVQ's/QA Course Build' = full course. NOTE: Sprint-named (see notes)"
1207942229848224,National Education Opportunities Network (NEON),46.2,39,other,,,,MOU/partnership agreement + 'Course Design'+'Course Launch',"Sections 'Untitled' + 'PM Time Tracking'; tasks are MOU drafting/approval ('Draft MOU','Review MOU with IIRC','Ed Equity Partnership MOU Finalized') plus single 'Course Design'/'Course Launch'. NEON = partnership/program-setup engagement, not a build"
1211653962736510,Business for Humans | Sheedy Family Program,38.8,32,full_course,,,,,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA/Delivery'. Full course (Business for Humans)
1207967599155608,Online Pedagogy Course  ,38.2,20,full_course,,,,Yi welcome/testimonial videos,"Sections 'Course Planning','Course Design','Course Development','QA','Media'; tasks 'Course map','Create Course Syllabus','Develop Canvas Site','Launch Canvas Site'. Full course (Online Pedagogy)"
1208878713359040,3D Environments Summer Online,35.2,106,full_course,,8,,,Course Map + 'Finalize Module 1..8' + 'Module 1..8 Develop Assessments/Instructional Material' + 'Canvas Launch'. Full 8-module course (3D Environments Summer Online)
1208622917750063,ACE Assessment Course Redesign,33.4,20,course_redesign,,,,video production w/ Amy & Patrick (RC1/RC2/FC1 edits),"Project name 'ACE Assessment Course Redesign'; only Pre-Production/Production/Post-Production media sections (scripting, filming, RC/FC editing) - media refresh of an existing course"
1207907772727914,ND Elevate Updates,32.3,18,course_redesign,,4,,rebrand videos + graphics,"Project name 'ND Elevate Updates'; sections 'Graphics','Videos','Canvas Build'; tasks 'Canvas Updates','Logo Updates on LMS','All Rebrand Videos','New master/M0/M1/M2/M3'. Update/rebrand of existing course (4 Canvas modules M0-M3)"
1207760971753716,FCTA - Physics I,29.2,22,full_course,,,,Canvas site build; video animations,"Tasks 'Finalize Course Map','Canvas site build','Delivery/Handoff' + scripting/filming/editing/animations. Full course w/ Canvas build (FCTA - Physics I)"
1209417479528380,Videos for Eva,29.2,29,single_video,4,,,4 lecture videos for one set (Eva),"Sections Analysis/Pre-Production/Production/Post-Production; tasks 'Production: Lectures 1 and 2','Lecture 3','Lecture 4','Editing Worksheet videos'. Media-only video deliverable (lecture set for Eva), no course build"
1211134268245785,ACE Higher Powered Learning (HPL),26.0,29,full_course,,,,screencast filming,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (ACE HPL)
1208659811898324,ODL Lookbook,22.3,4,consult_or_studio,,,,Lookbook deliverable (RC1/RC2/FC1/FC2 review rounds),"Only 4 tasks, section 'Untitled': RC1/RC2/FC1/FC2 - a single Lookbook design deliverable. ODL Lookbook = standalone design/graphics deliverable"
1210225716846542,Sprint 2025 - Bringing Korean to Life - Yeonhee Yoon,19.5,27,full_course,,,,XR development component,"Name 'Sprint 2025'; tasks 'Create Course Map','Finalize Modules','XR Development','Finalize Assessments/IVQ's/Course Build/QA Course Build'. Full course with XR element. NOTE: Sprint-named (see notes)"
1208255134985064,ODL Podcast,17.6,30,podcast,,,,~15 podcast episodes (14 Released + 1 Ready for Distribution),"Project 'ODL Podcast'; sections 'Need to Book','Ready for Distribution','Released'; Released has 14 guest-named episodes (Carlo Rotella, Karen Costa, Michelle Miller, ...) + Trailer. Podcast production"
1213292120696339,NEON - POS 30022 (Poly Sci),16.8,61,full_course,,,,,Course Map + 'Finalize Modules on Course Map' + 'Finalize Course Build/QA Course Build/Delivery' + LD/Media/Graphics/PM hour tracking. Full course (NEON POS 30022 Poly Sci)
1211900372320318,C2D: Cybertraining for Chemical Data scientists,16.5,31,full_course,,,,screencast + animation,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (C2D Cybertraining)
1208878713359035,Calc I Summer Online,15.8,85,full_course,,8,,,Course Map + 'Finalize Module 1..8' + 'Module 1..8 Develop Assessments/Instructional Material' + 'Canvas Launch'. Full 8-module course (Calc I Summer Online)
1208255134985069,Travel Safety 101,15.7,13,full_course,,4,,videos + infographics,"Single 'Untitled' section narrative tasks: 'Review current travel course','design Modules 1 and 2','Design Modules 3 and 4','build scenario based assessments and lesson quizzes','Filming videos'. Redesign/build of Travel course = full course (4 modules). (Travel Safety 101)"
1208875960377620,Program for Inclusive Education (PIE) Video #2,15.5,12,single_video,1,,,,Single section 'Video 2 - Lessons From the Saints'; one PIE video deliverable (Video #2)
1208344673489500,MSAN Asset Spreadsheet,15.1,27,other,12,,,7 module infographics + 12 lecture/interview videos (asset list),"Project 'MSAN Asset Spreadsheet'; single 'Untitled' section listing media assets: 'Module 1/2/4/6/7/9/10 Infographic' + 12 'MSAN Lecture/Interview Video' rows. This is the media asset tracking spreadsheet feeding MSAN course, not its own course build"
1207816481565083,Gen Chem Intro Video ,13.5,10,single_video,1,,,,Sections Pre-Production/Production/Post-Production/Delivery; tasks Scripting/Filming/Editing/Final Cut/'In Panopto'/'On Platform'. One intro video (Gen Chem Intro Video)
1212638027964018,Ultrasound Communication Video,12.8,51,single_video,1,,,,"Course-template sections but project='Ultrasound Communication Video', single Production 'Filming' + one edit chain (Ingest/Assembly/RC1/RC2/FC1/Master/Captions/Delivery). One video deliverable"
1212627165986472,Borgo Laudato Si' videos,12.0,32,single_video,1,,,,"Project ""Borgo Laudato Si' videos""; Production task 'Joule Production', Post 'Joule Editing' - single video shoot (Joule). Media-only, one primary video"
1213478777903328,Media Studio Sessions,9.2,1,consult_or_studio,,,,studio filming sessions (time tracker only),Single task 'Filming time tracker' in 'Untitled'; project 'Media Studio Sessions' = ad-hoc studio session support/time tracking
1212638028070139,CIF Video,9.0,21,single_video,2,,,V1 + V2 reshoot of one video,Project 'CIF Video'; sections + 'Version 2 of Video' (Reshoot basketball scene/Finalize Edits/Delivery). One video delivered in 2 versions
1208014741125322,MSAN,8.0,60,full_course,,11,,infographics + video graphics,"Course Map + 'Finalize Module 0..10' (named: Welcome, What is mental health, etc) + 'Finalize Course build/QA' + 'Canvas Launch'. Full 11-module course (MSAN)"
1209243150458199,PIE Video #3,8.0,28,single_video,1,,,infographics,Project 'PIE Video #3'; tasks 'PIE Video 3 - Film/Edit RC1/RC2/FC1/Master/Uploaded to Youtube'. One video deliverable
1214795652576790,Maximizing Mendoza,6.5,36,full_course,,,,,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (Maximizing Mendoza)
1207817115500019,Equity XR ,6.0,13,xr_interactive,,,,XR experience (playtested v1/v2/v3) + classroom & XR workshops,"Project 'Equity XR'; sections Post-Production + 'Workshops'; tasks 'v1 Playtesting','v2 Testing','v3 Testing','XR Workshop #1/#2','Classroom Workshop'. XR/interactive deliverable"
1211900373500710,I CAN HELP Learning Modules,6.0,21,full_course,,,,,Project 'I CAN HELP Learning Modules'; Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/Course Build/QA Course Build/Delivery'. Full course (learning modules)
1209419538333955,Insect Podcast Consult,5.2,25,podcast,,,,podcast scripting/recording/editing consult,"Project 'Insect Podcast Consult'; course-template sections but Production 'Recording', Pre-Prod scripting, 'Deliver Files'. Podcast production (consult-scope)"
1211489930659695,MS-ACMS Faculty Videos,5.0,25,video_series,,,,faculty videos (single filming + RC1/FC1 edit chain),"Project 'MS-ACMS Faculty Videos'; media-only sections, one 'Filming' + edit chain. Faculty video set; count indeterminate (no per-video sections)"
1211360177216098,Summer Online 2026,5.0,2,internal_admin,0,0,0,LD + PM time only,"Project 'Summer Online 2026'; only 2 tasks 'Bri Time' (LD Time) + 'Sonia Time' (PM Time). Planning/admin placeholder, no deliverables"
1209741238247552,Political Science SO Course,4.4,35,full_course,,,,,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (Political Science SO)
1209213189516064,ASCEND Engineering II,3.5,32,full_course,,,,,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (ASCEND Engineering II)
1207728646024488,AI Video Series,3.0,76,video_series,8,,,,8 sections 'Video 1..Video 8' each with Scripting/Film/RC/FC/Master/'Upload to Youtube (final deliverable)'. Video series (8 AI-in-education videos)
1208335646825701,Michael's PM Tasks,2.8,27,internal_admin,,,,PM admin / working-group meeting tasks,"Project ""Michael's PM Tasks""; sections 'Asana Tasks','Learning Analytics Working Group','AI Working Group','Assorted PM tasks'. Internal PM/ops board"
1208031566113859,FCTA - Calculus I,2.8,11,consult_or_studio,,,,faculty/student testimonial media,"Project 'FCTA - Calculus I'; sections 'Planning Phase','Goal development','Media'; tasks readings/brainstorming + 'Student Testimonials','Faculty Reactions' filming. FCTA = faculty-consult/community-of-practice support, light media"
1207984230724068,Summer Online 2025,1.5,20,internal_admin,,,,"summer-program coordination (marketing, registrar, surveys)","Project 'Summer Online 2025'; sections 'Summer Online Prep','Courses Begin','Post Evaluation'; tasks meetings w/ advising deans, marketing, grade deadlines, surveys. Program operations, not a build"
1209897970646083,Multimedia Writing and Rhetoric,1.2,21,single_video,1,,,,"Project 'Multimedia Writing and Rhetoric'; media-only sections, one Production 'Filming' + RC1/RC2/FC1/QA/Delivery edit chain. One video deliverable"
1207473416887601,Sprint: Interactive (Elena) ,1.0,14,sprint,,,,Genially interactive build (wireframe/drafts),Project 'Sprint: Interactive (Elena)'; sections Analysis/Design/'Genially Build' (Rough draft/Second draft/Final draft/Final). ODL Sprint engagement producing a Genially interactive
1207760971753765,XR Spanish Escape Room,1.0,21,xr_interactive,,,,"VR escape-room (prototype, multiplayer, voice recognition, playtesting)","Project 'XR Spanish Escape Room'; tasks 'Create white-box XR prototype','Multiplayer setup','Add voice recognition for spanish phrase','Test with students for VR Experience'. XR/interactive escape room"
1209877147787619,Study Abroad,1.0,28,course_redesign,,,,redesign of Study Abroad site (RC1/FC1 + usability testing),"Project 'Study Abroad'; section 'Content Redesign' tasks 'Update Course Structure & Module Flow','Reorganize Misconceptions Section','Develop Revised Design Approach'; + 'Usability Testing'. Redesign of existing course/site"
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,1.0,30,full_course,,,,VR development component,"Name 'Sprint 2025'; tasks 'Create Course Map','Finalize Modules','Finalize Assessments/IVQ's/Course Build/QA Course Build'. Full course with VR element. NOTE: Sprint-named (see notes)"
1209484413612062,ECG Videos,0.4,33,full_course,,,,,Project 'ECG Videos' but full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course build
1212660352662527,Romance Languages video/podcast initiative,0.0,31,full_course,,,,video/podcast media,Project 'Romance Languages video/podcast initiative'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (note: name mentions video/podcast)
1209417474929053,Business on the Frontlines XR,0.0,23,xr_interactive,,,,"Unity XR simulation (5 interaction scenes, AI agents, gameplay loop)","Project 'Business on the Frontlines XR'; sections 'Core Framework','Core Gameplay Loop','Content Expansion','Polish and QA Testing'; tasks 'Minimum Viable Scenario','Game Manager System','AI Agent Creation','Exploration Learning Scene 1-3'. XR/interactive Unity sim"
1209803738475381,Multimedia Writing and Rhetoric,0.0,23,single_video,1,,,infographics,"Project 'Multimedia Writing and Rhetoric' (2nd gid, 0h); media-only template, one Production 'Filming'+Infographics + edit chain. One video deliverable"
1206434839973092,Project Requests & Intake ,0.0,24,internal_admin,,,,intake queue of project requests,"Project 'Project Requests & Intake'; single 'Untitled' section listing incoming requests (consults, sims, VR ideas). Internal intake board"
1209243150458147,Template - Media Only Project (Updated Jan 2025),0.0,24,internal_admin,,,,reusable media-only template,Project 'Template - Media Only Project (Updated Jan 2025)'; Analysis/Pre-Prod/Production/Post-Prod/Post-Project Evaluation media template. Internal template
1206425015213615,XR Overview (Spring 24),0.0,25,internal_admin,,,,XR program portfolio board,"Project 'XR Overview (Spring 24)'; sections 'Misc','Development Projects','Classroom Experiences','Tech Demos','In Queue' listing XR projects/people. Internal XR program tracking board"
1207778717570958,Standard Project Template,0.0,26,internal_admin,,,,reusable project template,Project 'Standard Project Template'; sections Design/Pre-Production/Production/Post-Production/Animation-Graphics/Development with MILESTONE markers. Internal template
1209116404156395,3D Environments Asset Spreadsheet,0.0,26,internal_admin,,,,26 3D-Environments media-asset rows (Unity tutorials),"Project '3D Environments Asset Spreadsheet'; single 'Untitled' section, 26 numbered media items ('01-03b Installing Unity','06-04 Using the Animation Editor'). Asset spreadsheet feeding 3D Environments course"
1211654114707733,ND-IBM Tech Ethics Lab Video Content Development,0.0,28,video_series,,,,faculty video content (single filming + edit chain) + infographics,Project 'ND-IBM Tech Ethics Lab Video Content Development'; media-only sections (Analysis/Pre-Prod/Production 'Filming'+Infographics/Post-Prod). Video content set; per-video count indeterminate
1213292120696334,NEON - R&E AI,0.0,29,full_course,,,,,Project 'NEON - R&E AI'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course
1211080311286428,Diction App,0.0,31,full_course,,,,app component,Project 'Diction App'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (with app deliverable named in title)
1207375113405523,(Umich) Asset Spreadsheet Example,0.0,43,internal_admin,,,,42 media-asset rows (Umich example),"Project '(Umich) Asset Spreadsheet Example'; 'Untitled' section with 42 numbered lesson media items (1.1.3 Introduction to Functions ...). Example asset spreadsheet, internal reference"
1212660351308233,Designing to Communicate: Strengthening Communication in Engineering Through Real-World Sustainability Contexts,0.0,31,full_course,,,,,Project 'Designing to Communicate ...'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course
1212638028024693,Stata bootcamp modules,0.0,31,full_course,,,,,Project 'Stata bootcamp modules'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (Stata bootcamp)
1209993089076881,Template - Full Project (Updated Jan 2025),0.0,31,internal_admin,,,,reusable project template,Project 'Template - Full Project (Updated Jan 2025)' (duplicate); standard Analysis..Post-Project Evaluation course template. Internal template
1205095744696654,ACE Ascent Phase II,0.0,32,full_course,,2,,per-strand production/animation,"Project 'ACE Ascent Phase II'; per-strand sections for 'Ratio and Proportion' & 'Leadership II' each w/ Design('Course build','review final build')/Pre-Prod/Production/Post-Production. Full course (2 strands/modules)"
1205980079388145,Teaching Everyone,0.0,36,full_course,,6,16,trailer + interview/lecture videos + interactives,"Project 'Teaching Everyone'; sections 'Design - Course Design & Development' (M0..M5, Build, External Review, Handoff) + 'Design - Interactives' + Media pre/prod/post + 'Media - Graphics' (16 numbered graphics). Full course, 6 modules"
1206363761761978,Carbon Neutral,0.0,37,xr_interactive,,5,,VR 'Memory Palace' environment + 5 lesson scenes,"Project 'Carbon Neutral'; sections 'Memory Palace: Interscene Environment','Lesson 1..5' each w/ 'Basic Environment','Asset Needs (Models)','Asset Needs (Coding)','VO Recording','Lighting'; 'Final Build: Student/Faculty Testing','Dean Showcase'. XR/VR interactive (5 lesson scenes)"
1206594949252410,2024 Projects,0.0,38,internal_admin,,,,portfolio/roll-up board of 2024 projects,"Project '2024 Projects'; sections 'Ascent','Inclusivity','Radio Systems','Sprints' listing other projects/people as line items. Internal portfolio tracking board"
1209109368415840,Template - Full Project (Updated Jan 2025),0.0,47,internal_admin,,,,reusable project template,Project 'Template - Full Project (Updated Jan 2025)'; standard Analysis..Post-Project Evaluation template with role-hour placeholders. Internal template
1207338575319394,ACE Ascent Phase III,0.0,50,full_course,,2,,animation/graphics + on-location production,"Project 'ACE Ascent Phase III'; per-strand sections 'Design/Pre-Production/Production/Post-Production/Animation/Development' for 'Geometry and Measurement' & 'Leadership IIIa'; tasks 'Course map layout','Module objectives written','Course build','Hand-off meeting'. Full course (2 content strands/modules)"
1208740211406775,ODL Project Estimations,0.0,53,internal_admin,,,,estimation rate-card (per-asset effort catalog),"Project 'ODL Project Estimations'; sections list editing/filming/animation/XR/design line items as estimation reference ('3 minute Explainer Animation','Studio Lecture filming'). Internal estimation tool"
1209101623231546,Calc I Summer Online Asset Spreadsheet,0.0,76,internal_admin,,,,"76 Calc I media-asset rows (week intros, examples)","Project 'Calc I Summer Online Asset Spreadsheet'; single 'Media Assets' section with 76 numbered media items (01-01 Week 1 Intro ... 08-04). Asset-tracking spreadsheet feeding the Calc I course, not its own build"
1213077276586762,FCTA - Physics II,0.0,22,full_course,,,,video animations; Canvas site build,"Project 'FCTA - Physics II'; tasks 'Finalize Course Map','Canvas site build','Video Editing','Video Animations','Delivery/Handoff'. Full course w/ Canvas build (parallels FCTA Physics I)"
