gid,name,archetype,is_course_dev,n_videos,n_modules,coverage_audited,audited_through,force_coverage,frozen,notes
1212638027964018,Ultrasound Communication Video,single_video,True,1,,full,2026-06-03,,1,"Course-template sections but project='Ultrasound Communication Video', single Production 'Filming' + one edit chain (Ingest/Assembly/RC1/RC2/FC1/Master/Captions/Delivery). One video deliverable"
1212627165986472,Borgo Laudato Si' videos,single_video,True,1,,full,2026-06-03,,1,"Project ""Borgo Laudato Si' videos""; Production task 'Joule Production', Post 'Joule Editing' - single video shoot (Joule). Media-only, one primary video"
1213478777903328,Media Studio Sessions,consult_or_studio,False,,,partial,2026-06-03,,1,Single task 'Filming time tracker' in 'Untitled'; project 'Media Studio Sessions' = ad-hoc studio session support/time tracking
1212638028070139,CIF Video,single_video,True,2,,minimal,2026-06-03,,1,Project 'CIF Video'; sections + 'Version 2 of Video' (Reshoot basketball scene/Finalize Edits/Delivery). One video delivered in 2 versions
1208014741125322,MSAN,full_course,True,,11,partial,2026-06-03,,1,"Course Map + 'Finalize Module 0..10' (named: Welcome, What is mental health, etc) + 'Finalize Course build/QA' + 'Canvas Launch'. Full 11-module course (MSAN)"
1209243150458199,PIE Video #3,single_video,True,1,,full,2026-06-03,,1,Project 'PIE Video #3'; tasks 'PIE Video 3 - Film/Edit RC1/RC2/FC1/Master/Uploaded to Youtube'. One video deliverable
1214795652576790,Maximizing Mendoza,full_course,True,,,full,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (Maximizing Mendoza)
1207817115500019,Equity XR,xr_interactive,True,,,minimal,2026-06-03,,1,"Project 'Equity XR'; sections Post-Production + 'Workshops'; tasks 'v1 Playtesting','v2 Testing','v3 Testing','XR Workshop #1/#2','Classroom Workshop'. XR/interactive deliverable"
1211900373500710,I CAN HELP Learning Modules,full_course,True,,,minimal,2026-06-03,,1,Project 'I CAN HELP Learning Modules'; Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/Course Build/QA Course Build/Delivery'. Full course (learning modules)
1209419538333955,Insect Podcast Consult,podcast,True,,,full,2026-06-03,,1,"Project 'Insect Podcast Consult'; course-template sections but Production 'Recording', Pre-Prod scripting, 'Deliver Files'. Podcast production (consult-scope)"
1211360177216098,Summer Online 2026,internal_admin,False,0,0,minimal,2026-06-03,,1,"Project 'Summer Online 2026'; only 2 tasks 'Bri Time' (LD Time) + 'Sonia Time' (PM Time). Planning/admin placeholder, no deliverables"
1211489930659695,MS-ACMS Faculty Videos,video_series,True,,,minimal,2026-06-03,,1,"Project 'MS-ACMS Faculty Videos'; media-only sections, one 'Filming' + edit chain. Faculty video set; count indeterminate (no per-video sections)"
1209741238247552,Political Science SO Course,full_course,True,,,minimal,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (Political Science SO)
1209213189516064,ASCEND Engineering II,full_course,True,,,minimal,2026-06-03,,1,Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (ASCEND Engineering II)
1207728646024488,AI Video Series,video_series,True,8,,minimal,2026-06-03,,1,8 sections 'Video 1..Video 8' each with Scripting/Film/RC/FC/Master/'Upload to Youtube (final deliverable)'. Video series (8 AI-in-education videos)
1208335646825701,Michael's PM Tasks,internal_admin,False,,,minimal,2026-06-03,,1,"Project ""Michael's PM Tasks""; sections 'Asana Tasks','Learning Analytics Working Group','AI Working Group','Assorted PM tasks'. Internal PM/ops board"
1208031566113859,FCTA - Calculus I,consult_or_studio,True,,,minimal,2026-06-03,,1,"Project 'FCTA - Calculus I'; sections 'Planning Phase','Goal development','Media'; tasks readings/brainstorming + 'Student Testimonials','Faculty Reactions' filming. FCTA = faculty-consult/community-of-practice support, light media"
1207984230724068,Summer Online 2025,internal_admin,False,,,minimal,2026-06-03,,1,"Project 'Summer Online 2025'; sections 'Summer Online Prep','Courses Begin','Post Evaluation'; tasks meetings w/ advising deans, marketing, grade deadlines, surveys. Program operations, not a build"
1209897970646083,Multimedia Writing and Rhetoric,single_video,True,1,,minimal,2026-06-03,,1,"Project 'Multimedia Writing and Rhetoric'; media-only sections, one Production 'Filming' + RC1/RC2/FC1/QA/Delivery edit chain. One video deliverable"
1209877147787619,Study Abroad,course_redesign,True,,,minimal,2026-06-03,,1,"Project 'Study Abroad'; section 'Content Redesign' tasks 'Update Course Structure & Module Flow','Reorganize Misconceptions Section','Develop Revised Design Approach'; + 'Usability Testing'. Redesign of existing course/site"
1210225716846547,Sprint 2025 - VR in Global Health Training - Elizabeth Wood,full_course,True,,,minimal,2026-06-03,,1,"Name 'Sprint 2025'; tasks 'Create Course Map','Finalize Modules','Finalize Assessments/IVQ's/Course Build/QA Course Build'. Full course with VR element. NOTE: Sprint-named (see notes)"
1207760971753765,XR Spanish Escape Room,xr_interactive,True,,,minimal,2026-06-03,,1,"Project 'XR Spanish Escape Room'; tasks 'Create white-box XR prototype','Multiplayer setup','Add voice recognition for spanish phrase','Test with students for VR Experience'. XR/interactive escape room"
1207473416887601,Sprint: Interactive (Elena),sprint,True,,,minimal,2026-06-03,,1,Project 'Sprint: Interactive (Elena)'; sections Analysis/Design/'Genially Build' (Rough draft/Second draft/Final draft/Final). ODL Sprint engagement producing a Genially interactive
1209484413612062,ECG Videos,full_course,True,,,minimal,2026-06-03,,1,Project 'ECG Videos' but full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course build
1213077276586762,FCTA - Physics II,full_course,,,,,2026-06-03,,1,"Project 'FCTA - Physics II'; tasks 'Finalize Course Map','Canvas site build','Video Editing','Video Animations','Delivery/Handoff'. Full course w/ Canvas build (parallels FCTA Physics I)"
1209803738475381,Multimedia Writing and Rhetoric,single_video,,1,,,2026-06-03,,1,"Project 'Multimedia Writing and Rhetoric' (2nd gid, 0h); media-only template, one Production 'Filming'+Infographics + edit chain. One video deliverable"
1206434839973092,Project Requests & Intake,internal_admin,,,,,2026-06-03,,1,"Project 'Project Requests & Intake'; single 'Untitled' section listing incoming requests (consults, sims, VR ideas). Internal intake board"
1205095744696654,ACE Ascent Phase II,full_course,,,2,,2026-06-03,,1,"Project 'ACE Ascent Phase II'; per-strand sections for 'Ratio and Proportion' & 'Leadership II' each w/ Design('Course build','review final build')/Pre-Prod/Production/Post-Production. Full course (2 strands/modules)"
1205980079388145,Teaching Everyone,full_course,,,6,,2026-06-03,,1,"Project 'Teaching Everyone'; sections 'Design - Course Design & Development' (M0..M5, Build, External Review, Handoff) + 'Design - Interactives' + Media pre/prod/post + 'Media - Graphics' (16 numbered graphics). Full course, 6 modules"
1212660352662527,Romance Languages video/podcast initiative,full_course,,,,,2026-06-03,,1,Project 'Romance Languages video/podcast initiative'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (note: name mentions video/podcast)
1212638028024693,Stata bootcamp modules,full_course,,,,,2026-06-03,,1,Project 'Stata bootcamp modules'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (Stata bootcamp)
1206363761761978,Carbon Neutral,xr_interactive,,,5,,2026-06-03,,1,"Project 'Carbon Neutral'; sections 'Memory Palace: Interscene Environment','Lesson 1..5' each w/ 'Basic Environment','Asset Needs (Models)','Asset Needs (Coding)','VO Recording','Lighting'; 'Final Build: Student/Faculty Testing','Dean Showcase'. XR/VR interactive (5 lesson scenes)"
1207375113405523,(Umich) Asset Spreadsheet Example,internal_admin,,,,,2026-06-03,,1,"Project '(Umich) Asset Spreadsheet Example'; 'Untitled' section with 42 numbered lesson media items (1.1.3 Introduction to Functions ...). Example asset spreadsheet, internal reference"
1209993089076881,Template - Full Project (Updated Jan 2025),internal_admin,,,,,2026-06-03,,1,Project 'Template - Full Project (Updated Jan 2025)' (duplicate); standard Analysis..Post-Project Evaluation course template. Internal template
1207778717570958,Standard Project Template,internal_admin,,,,,2026-06-03,,1,Project 'Standard Project Template'; sections Design/Pre-Production/Production/Post-Production/Animation-Graphics/Development with MILESTONE markers. Internal template
1209116404156395,3D Environments Asset Spreadsheet,internal_admin,,,,,2026-06-03,,1,"Project '3D Environments Asset Spreadsheet'; single 'Untitled' section, 26 numbered media items ('01-03b Installing Unity','06-04 Using the Animation Editor'). Asset spreadsheet feeding 3D Environments course"
1208740211406775,ODL Project Estimations,internal_admin,,,,,2026-06-03,,1,"Project 'ODL Project Estimations'; sections list editing/filming/animation/XR/design line items as estimation reference ('3 minute Explainer Animation','Studio Lecture filming'). Internal estimation tool"
1213292120696334,NEON - R&E AI,full_course,,,,,2026-06-03,,1,Project 'NEON - R&E AI'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course
1209417474929053,Business on the Frontlines XR,xr_interactive,,,,,2026-06-03,,1,"Project 'Business on the Frontlines XR'; sections 'Core Framework','Core Gameplay Loop','Content Expansion','Polish and QA Testing'; tasks 'Minimum Viable Scenario','Game Manager System','AI Agent Creation','Exploration Learning Scene 1-3'. XR/interactive Unity sim"
1209109368415840,Template - Full Project (Updated Jan 2025),internal_admin,,,,,2026-06-03,,1,Project 'Template - Full Project (Updated Jan 2025)'; standard Analysis..Post-Project Evaluation template with role-hour placeholders. Internal template
1209101623231546,Calc I Summer Online Asset Spreadsheet,internal_admin,,,,,2026-06-03,,1,"Project 'Calc I Summer Online Asset Spreadsheet'; single 'Media Assets' section with 76 numbered media items (01-01 Week 1 Intro ... 08-04). Asset-tracking spreadsheet feeding the Calc I course, not its own build"
1212660351308233,Designing to Communicate: Strengthening Communication in Engineering Through Real-World Sustainability Contexts,full_course,,,,,2026-06-03,,1,Project 'Designing to Communicate ...'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course
1206425015213615,XR Overview (Spring 24),internal_admin,,,,,2026-06-03,,1,"Project 'XR Overview (Spring 24)'; sections 'Misc','Development Projects','Classroom Experiences','Tech Demos','In Queue' listing XR projects/people. Internal XR program tracking board"
1211654114707733,ND-IBM Tech Ethics Lab Video Content Development,video_series,,,,,2026-06-03,,1,Project 'ND-IBM Tech Ethics Lab Video Content Development'; media-only sections (Analysis/Pre-Prod/Production 'Filming'+Infographics/Post-Prod). Video content set; per-video count indeterminate
1209243150458147,Template - Media Only Project (Updated Jan 2025),internal_admin,,,,,2026-06-03,,1,Project 'Template - Media Only Project (Updated Jan 2025)'; Analysis/Pre-Prod/Production/Post-Prod/Post-Project Evaluation media template. Internal template
1211080311286428,Diction App,full_course,,,,,2026-06-03,,1,Project 'Diction App'; full course-template: Course Map + 'Finalize Modules on Course Map' + 'Finalize Assessments/IVQ's/Course Build/QA Course Build/Delivery'. Full course (with app deliverable named in title)
1207338575319394,ACE Ascent Phase III,full_course,,,2,,2026-06-03,,1,"Project 'ACE Ascent Phase III'; per-strand sections 'Design/Pre-Production/Production/Post-Production/Animation/Development' for 'Geometry and Measurement' & 'Leadership IIIa'; tasks 'Course map layout','Module objectives written','Course build','Hand-off meeting'. Full course (2 content strands/mod"
1206594949252410,2024 Projects,internal_admin,,,,,2026-06-03,,1,"Project '2024 Projects'; sections 'Ascent','Inclusivity','Radio Systems','Sprints' listing other projects/people as line items. Internal portfolio tracking board"
